Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of an energy sufficient diet [CoCA],Cost of a nutrient adequate diet [CoNA],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of fruits [CoHD_f],Cost of vegetables [CoHD_v],Cost of starchy staples [CoHD_ss],Cost of animal-source foods [CoHD_asf],"Cost of legumes, nuts and seeds [CoHD_lns]",Cost of oils and fats [CoHD_of],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Affordability of an energy sufficient diet: ratio of cost to the $0.99 food poverty line [CoCA_pov],Affordability of a nutrient adequate diet: ratio of cost to the $0.99 food poverty line [CoNA_pov],Affordability of a healthy diet: ratio of cost to the $0.99 food poverty line [CoHD_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n]
Food Prices for Nutrition Data,FPN,Mauritania,MRT,2018,YR2018,..,..,3.574,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.61,..,..,..,..,..,62.4,..,..,2.7
Food Prices for Nutrition Data,FPN,Mauritania,MRT,2019,YR2019,..,..,3.6541,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.691,..,..,..,..,..,60.7,..,..,2.7
Food Prices for Nutrition Data,FPN,Mauritania,MRT,2020,YR2020,..,..,3.692,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.729,..,..,..,..,..,60.7,..,..,2.8
Food Prices for Nutrition Data,FPN,Mauritius,MUS,2017,YR2017,0.814,2.519,3.313,4.07,0.565,1.07,0.407,0.876,0.296,0.1,0.171,0.323,0.123,0.264,0.089,0.03,1.39,2.63,2.15,0.73,0.25,0.822,2.544,3.346,0.078,0.242,0.318,0,6,14.8,0,0.1,0.2
Food Prices for Nutrition Data,FPN,Mauritius,MUS,2018,YR2018,..,..,3.396,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.43,..,..,..,..,..,13.5,..,..,0.2
Food Prices for Nutrition Data,FPN,Mauritius,MUS,2019,YR2019,..,..,3.439,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.474,..,..,..,..,..,12.2,..,..,0.2
Food Prices for Nutrition Data,FPN,Mauritius,MUS,2020,YR2020,..,..,3.604,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.64,..,..,..,..,..,13.5,..,..,0.2
Food Prices for Nutrition Data,FPN,Mexico,MEX,2017,YR2017,0.643,2.483,2.993,4.65,0.599,0.771,0.411,0.766,0.35,0.096,0.2,0.258,0.137,0.256,0.117,0.032,1.46,1.88,1.86,0.85,0.23,0.649,2.508,3.023,0.082,0.315,0.38,0.8,18.6,26.1,1,23.2,32.6
Food Prices for Nutrition Data,FPN,Mexico,MEX,2018,YR2018,..,..,3.071,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.102,..,..,..,..,..,24.9,..,..,31.4
Food Prices for Nutrition Data,FPN,Mexico,MEX,2019,YR2019,..,..,3.075,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.106,..,..,..,..,..,23.7,..,..,30.3
