Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of an energy sufficient diet [CoCA],Cost of a nutrient adequate diet [CoNA],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of fruits [CoHD_f],Cost of vegetables [CoHD_v],Cost of starchy staples [CoHD_ss],Cost of animal-source foods [CoHD_asf],"Cost of legumes, nuts and seeds [CoHD_lns]",Cost of oils and fats [CoHD_of],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Affordability of an energy sufficient diet: ratio of cost to the $0.99 food poverty line [CoCA_pov],Affordability of a nutrient adequate diet: ratio of cost to the $0.99 food poverty line [CoNA_pov],Affordability of a healthy diet: ratio of cost to the $0.99 food poverty line [CoHD_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n]
Food Prices for Nutrition Data,FPN,"Taiwan, China",TWN,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,"Taiwan, China",TWN,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Tajikistan,TJK,2017,YR2017,0.912,2.345,3.027,3.32,0.628,0.425,0.552,0.823,0.439,0.16,0.207,0.14,0.182,0.272,0.145,0.053,1.14,0.77,1.49,0.8,0.29,0.921,2.369,3.058,0.362,0.932,1.203,1.7,26.5,42.9,0.2,2.3,3.8
Food Prices for Nutrition Data,FPN,Tajikistan,TJK,2018,YR2018,..,..,3.119,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.151,..,..,..,..,..,40.1,..,..,3.6
Food Prices for Nutrition Data,FPN,Tajikistan,TJK,2019,YR2019,..,..,3.433,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.468,..,..,..,..,..,42,..,..,3.9
Food Prices for Nutrition Data,FPN,Tajikistan,TJK,2020,YR2020,..,..,3.48,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.515,..,..,..,..,..,42.1,..,..,4
Food Prices for Nutrition Data,FPN,Tanzania,TZA,2017,YR2017,0.994,1.944,2.598,2.61,0.518,0.504,0.557,0.657,0.208,0.155,0.199,0.194,0.214,0.253,0.08,0.06,0.93,0.9,1.18,0.37,0.28,1.004,1.964,2.624,0.374,0.731,0.976,43.9,79.7,88.7,24,43.6,48.5
Food Prices for Nutrition Data,FPN,Tanzania,TZA,2018,YR2018,..,..,2.648,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.675,..,..,..,..,..,88.3,..,..,49.8
Food Prices for Nutrition Data,FPN,Tanzania,TZA,2019,YR2019,..,..,2.681,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.708,..,..,..,..,..,87.4,..,..,50.7
Food Prices for Nutrition Data,FPN,Tanzania,TZA,2020,YR2020,..,..,2.736,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.764,..,..,..,..,..,87.6,..,..,52.3
Food Prices for Nutrition Data,FPN,Thailand,THA,2017,YR2017,1.047,2.883,3.971,3.79,0.786,0.746,0.896,0.942,0.488,0.114,0.198,0.188,0.226,0.237,0.123,0.029,0.88,0.83,1.05,0.54,0.13,1.058,2.912,4.011,0.173,0.476,0.656,0,5.6,17.5,0,3.9,12.1
Food Prices for Nutrition Data,FPN,Thailand,THA,2018,YR2018,..,..,4.042,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.083,..,..,..,..,..,17.9,..,..,12.4
Food Prices for Nutrition Data,FPN,Thailand,THA,2019,YR2019,..,..,4.181,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.223,..,..,..,..,..,16,..,..,11.1
Food Prices for Nutrition Data,FPN,Thailand,THA,2020,YR2020,..,..,4.321,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.365,..,..,..,..,..,17,..,..,11.9
Food Prices for Nutrition Data,FPN,Togo,TGO,2017,YR2017,1.939,2.31,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.959,2.333,..,1.44,1.716,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Togo,TGO,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Togo,TGO,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Togo,TGO,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Trinidad and Tobago,TTO,2017,YR2017,1.009,3.135,3.928,3.89,0.979,0.763,0.612,1.047,0.361,0.167,0.249,0.194,0.156,0.267,0.092,0.043,1.6,1.25,1.71,0.59,0.27,1.019,3.167,3.968,0.129,0.4,0.501,0.2,6.1,10.7,0,0.1,0.1
Food Prices for Nutrition Data,FPN,Trinidad and Tobago,TTO,2018,YR2018,..,..,4.028,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.069,..,..,..,..,..,10.8,..,..,0.1
Food Prices for Nutrition Data,FPN,Trinidad and Tobago,TTO,2019,YR2019,..,..,4.083,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.124,..,..,..,..,..,11,..,..,0.2
Food Prices for Nutrition Data,FPN,Trinidad and Tobago,TTO,2020,YR2020,..,..,4.224,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.267,..,..,..,..,..,11.6,..,..,0.2
Food Prices for Nutrition Data,FPN,Tunisia,TUN,2017,YR2017,0.604,1.88,3.476,5.75,1.127,0.527,0.318,0.841,0.482,0.181,0.324,0.152,0.091,0.242,0.139,0.052,3.54,1.66,2.64,1.52,0.57,0.61,1.899,3.511,0.111,0.346,0.64,0,3.2,21.8,0,0.4,2.5
Food Prices for Nutrition Data,FPN,Tunisia,TUN,2018,YR2018,..,..,3.559,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.595,..,..,..,..,..,21.2,..,..,2.5
Food Prices for Nutrition Data,FPN,Tunisia,TUN,2019,YR2019,..,..,3.628,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.665,..,..,..,..,..,20.8,..,..,2.4
Food Prices for Nutrition Data,FPN,Tunisia,TUN,2020,YR2020,..,..,3.639,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.676,..,..,..,..,..,20.3,..,..,2.4
Food Prices for Nutrition Data,FPN,Türkiye,TUR,2017,YR2017,0.709,2.286,2.873,4.05,0.85,0.448,0.36,0.817,0.271,0.127,0.296,0.156,0.125,0.284,0.094,0.044,2.36,1.24,2.27,0.75,0.35,0.716,2.309,2.902,0.096,0.311,0.391,0,3.4,6.9,0,2.8,5.6
Food Prices for Nutrition Data,FPN,Türkiye,TUR,2018,YR2018,..,..,2.997,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.027,..,..,..,..,..,6.8,..,..,5.6
Food Prices for Nutrition Data,FPN,Türkiye,TUR,2019,YR2019,..,..,3.064,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.095,..,..,..,..,..,8.9,..,..,7.4
Food Prices for Nutrition Data,FPN,Türkiye,TUR,2020,YR2020,..,..,3.029,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.06,..,..,..,..,..,8.2,..,..,6.9
Food Prices for Nutrition Data,FPN,Turks and Caicos Islands,TCA,2017,YR2017,1.128,2.453,2.809,2.49,0.556,0.663,0.532,0.645,0.296,0.117,0.198,0.236,0.189,0.23,0.105,0.042,1.05,1.25,1.21,0.56,0.22,1.139,2.478,2.837,0.317,0.69,0.79,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Turks and Caicos Islands,TCA,2018,YR2018,..,..,2.897,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.926,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Turks and Caicos Islands,TCA,2019,YR2019,..,..,2.973,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.003,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Turks and Caicos Islands,TCA,2020,YR2020,..,..,3.095,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.126,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Uganda,UGA,2017,YR2017,0.648,1.8,2.749,4.24,0.494,0.528,0.495,0.853,0.196,0.184,0.18,0.192,0.18,0.31,0.071,0.067,1,1.07,1.72,0.4,0.37,0.655,1.818,2.777,0.426,1.183,1.807,14.2,69.3,84.8,5.9,28.5,34.9
Food Prices for Nutrition Data,FPN,Uganda,UGA,2018,YR2018,..,..,2.712,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.739,..,..,..,..,..,83.5,..,..,35.7
Food Prices for Nutrition Data,FPN,Uganda,UGA,2019,YR2019,..,..,2.678,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.705,..,..,..,..,..,82.7,..,..,36.6
Food Prices for Nutrition Data,FPN,Uganda,UGA,2020,YR2020,..,..,2.658,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.685,..,..,..,..,..,82.2,..,..,37.6
Food Prices for Nutrition Data,FPN,United Arab Emirates,ARE,2017,YR2017,0.746,1.806,2.755,3.69,0.562,0.532,0.388,0.856,0.269,0.149,0.204,0.193,0.141,0.311,0.098,0.054,1.45,1.37,2.21,0.69,0.38,0.754,1.824,2.783,0.101,0.245,0.374,0,0,0,0,0,0
Food Prices for Nutrition Data,FPN,United Arab Emirates,ARE,2018,YR2018,..,..,2.835,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.864,..,..,..,..,..,0,..,..,0
Food Prices for Nutrition Data,FPN,United Arab Emirates,ARE,2019,YR2019,..,..,2.902,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.931,..,..,..,..,..,0,..,..,0
Food Prices for Nutrition Data,FPN,United Arab Emirates,ARE,2020,YR2020,..,..,3.111,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.142,..,..,..,..,..,0,..,..,0
Food Prices for Nutrition Data,FPN,United Kingdom,GBR,2017,YR2017,0.263,1.526,1.822,6.93,0.533,0.399,0.147,0.494,0.195,0.053,0.293,0.219,0.081,0.271,0.107,0.029,3.63,2.71,3.36,1.33,0.36,0.266,1.541,1.84,0.049,0.285,0.341,0.1,0.4,0.5,0.1,0.3,0.3
Food Prices for Nutrition Data,FPN,United Kingdom,GBR,2018,YR2018,..,..,1.873,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.892,..,..,..,..,..,0.5,..,..,0.3
Food Prices for Nutrition Data,FPN,United Kingdom,GBR,2019,YR2019,..,..,1.881,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.9,..,..,..,..,..,0.5,..,..,0.3
Food Prices for Nutrition Data,FPN,United Kingdom,GBR,2020,YR2020,..,..,1.912,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.931,..,..,..,..,..,0.5,..,..,0.3
Food Prices for Nutrition Data,FPN,United States,USA,2017,YR2017,0.905,2.215,3.225,3.56,0.61,1.053,0.661,0.557,0.285,0.059,0.189,0.327,0.205,0.173,0.088,0.018,0.92,1.59,0.84,0.43,0.09,0.914,2.237,3.258,0.129,0.316,0.46,1.2,1.5,2,4.1,4.9,6.5
Food Prices for Nutrition Data,FPN,United States,USA,2018,YR2018,..,..,3.24,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.273,..,..,..,..,..,1.7,..,..,5.7
Food Prices for Nutrition Data,FPN,United States,USA,2019,YR2019,..,..,3.268,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.301,..,..,..,..,..,1.5,..,..,4.9
Food Prices for Nutrition Data,FPN,United States,USA,2020,YR2020,..,..,3.383,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.417,..,..,..,..,..,1.5,..,..,4.9
Food Prices for Nutrition Data,FPN,Upper middle income,UMC,2017,YR2017,0.87,2.627,3.524,..,0.712,0.801,0.54,0.909,0.432,0.13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2,10.6,16.5,28.7,257.7,401.2
Food Prices for Nutrition Data,FPN,Upper middle income,UMC,2018,YR2018,..,..,3.577,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.5,..,..,355
Food Prices for Nutrition Data,FPN,Upper middle income,UMC,2019,YR2019,..,..,3.656,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.7,..,..,337.2
Food Prices for Nutrition Data,FPN,Upper middle income,UMC,2020,YR2020,..,..,3.762,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.2,..,..,374
Food Prices for Nutrition Data,FPN,Uruguay,URY,2017,YR2017,0.694,2.129,3.073,4.43,0.537,0.989,0.378,0.615,0.487,0.068,0.175,0.322,0.123,0.2,0.158,0.022,1.42,2.62,1.63,1.29,0.18,0.701,2.151,3.104,0.094,0.288,0.416,0,0.8,2.7,0,0,0.1
Food Prices for Nutrition Data,FPN,Uruguay,URY,2018,YR2018,..,..,3.17,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.202,..,..,..,..,..,2.9,..,..,0.1
Food Prices for Nutrition Data,FPN,Uruguay,URY,2019,YR2019,..,..,3.254,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.287,..,..,..,..,..,3.2,..,..,0.1
Food Prices for Nutrition Data,FPN,Uruguay,URY,2020,YR2020,..,..,3.414,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.448,..,..,..,..,..,3.6,..,..,0.1
Food Prices for Nutrition Data,FPN,Vietnam,VNM,2017,YR2017,0.975,2.514,3.586,3.68,0.556,0.771,0.582,1.183,0.305,0.189,0.155,0.215,0.162,0.33,0.085,0.053,0.96,1.32,2.03,0.52,0.32,0.985,2.539,3.622,0.286,0.737,1.052,1.3,15.9,32.4,1.2,15.1,30.7
Food Prices for Nutrition Data,FPN,Vietnam,VNM,2018,YR2018,..,..,3.663,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.7,..,..,..,..,..,29.4,..,..,28.1
Food Prices for Nutrition Data,FPN,Vietnam,VNM,2019,YR2019,..,..,3.776,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.814,..,..,..,..,..,26.8,..,..,25.8
Food Prices for Nutrition Data,FPN,Vietnam,VNM,2020,YR2020,..,..,4.072,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.113,..,..,..,..,..,30,..,..,29.2
Food Prices for Nutrition Data,FPN,West Bank and Gaza,PSE,2017,YR2017,1.124,1.761,3.342,2.97,0.695,0.564,0.649,1.127,0.186689715164812,0.122,0.208,0.169,0.194,0.337,0.056,0.037,1.07,0.87,1.74,0.29,0.19,1.135,1.779,3.376,0.284,0.445,0.845,1,4.4,25.4,0,0.2,1.1
Food Prices for Nutrition Data,FPN,West Bank and Gaza,PSE,2018,YR2018,..,..,3.398,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.432,..,..,..,..,..,25.8,..,..,1.2
Food Prices for Nutrition Data,FPN,West Bank and Gaza,PSE,2019,YR2019,..,..,3.493,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.528,..,..,..,..,..,25.4,..,..,1.2
Food Prices for Nutrition Data,FPN,West Bank and Gaza,PSE,2020,YR2020,..,..,3.356,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.39,..,..,..,..,..,23.1,..,..,1.1
Food Prices for Nutrition Data,FPN,World,WLD,2017,YR2017,0.834,2.457,3.314,..,0.662,0.793,0.508,0.873,0.348,0.13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.4,31.1,42.9,381.2,2212.2,3049.1
Food Prices for Nutrition Data,FPN,World,WLD,2018,YR2018,..,..,3.35,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.5,..,..,2973.8
Food Prices for Nutrition Data,FPN,World,WLD,2019,YR2019,..,..,3.425,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.9,..,..,2961.9
Food Prices for Nutrition Data,FPN,World,WLD,2020,YR2020,..,..,3.537,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42,..,..,3074.2
Food Prices for Nutrition Data,FPN,Zambia,ZMB,2017,YR2017,1.279,2.38,3.085,2.41,0.372,0.631,0.814,0.906,0.232,0.13,0.121,0.205,0.264,0.294,0.075,0.042,0.46,0.78,1.11,0.29,0.16,1.292,2.404,3.116,0.755,1.405,1.821,63.8,81.8,87.6,10.7,13.8,14.8
Food Prices for Nutrition Data,FPN,Zambia,ZMB,2018,YR2018,..,..,3.15,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.182,..,..,..,..,..,87.3,..,..,15.2
Food Prices for Nutrition Data,FPN,Zambia,ZMB,2019,YR2019,..,..,3.245,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.278,..,..,..,..,..,87.9,..,..,15.7
Food Prices for Nutrition Data,FPN,Zambia,ZMB,2020,YR2020,..,..,3.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.333,..,..,..,..,..,88,..,..,16.2
Food Prices for Nutrition Data,FPN,Zimbabwe,ZWE,2017,YR2017,0.775,2.297,3.456,4.46,0.513,0.968,0.55,0.95,0.33,0.144,0.148,0.28,0.159,0.275,0.095,0.042,0.93,1.76,1.73,0.6,0.26,0.783,2.32,3.491,0.343,1.016,1.529,15.8,70.8,84.1,2.2,10.1,12
Food Prices for Nutrition Data,FPN,Zimbabwe,ZWE,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Zimbabwe,ZWE,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Zimbabwe,ZWE,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Food Prices for Nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 07/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
